paper,author,species,experiment,spawn/brood,response,unit,mean_value,n,standard_error,standard_deviation,sediment_mg_per_l,depth_m,ammonium_microM,phosphorous_microM,light_treatment_percent_transmission,copper_ug_per_l,tributyltin_ug_per_l,zinc_ug_per_l,cadmium_ug_per_l,salinity_psu,nitrate_microM,tempertaure_degrees_celcius,mercury_ug/_per_l,benzo(a)pyrene_ug_per_l,acidification_pH,lead_ug_per_l,nickel_ug_per_l,factor,life stage,unit,mean_value,control,success,failure
effects of suspended sediment on fertalistion success in the scleractinian coral Pectinia lactuca,"Erftemeijer, P. L. A., Hagedorn, M., Laterveer, M., Craggs, J. and Guest, J. R.",Pectnia lactuca,1,spawn,fertilisation,0%,96.021,350,3,7.937253933,5,,,,,,,,,,,,,,,,,SEDIMENT,fertilisation,mg l-1,5,1,336,14
effects of suspended sediment on fertalistion success in the scleractinian coral Pectinia lactuca,"Erftemeijer, P. L. A., Hagedorn, M., Laterveer, M., Craggs, J. and Guest, J. R.",Pectnia lactuca,1,spawn,fertilisation,0%,84.085,350,10,26.45751311,43,,,,,,,,,,,,,,,,,SEDIMENT,fertilisation,mg l-1,43,0,294,56
effects of suspended sediment on fertalistion success in the scleractinian coral Pectinia lactuca,"Erftemeijer, P. L. A., Hagedorn, M., Laterveer, M., Craggs, J. and Guest, J. R.",Pectnia lactuca,1,spawn,fertilisation,0%,70.918,350,5,13.22875656,169,,,,,,,,,,,,,,,,,SEDIMENT,fertilisation,mg l-1,169,0,248,102
production and supply of larvae as determinants of zonation in a brooding tropical coral,"Carlon, D. B.",Favia fragum,2,brood,settlement,0%,43.612,254,10.593,168.8246393,,1.5,,,,,,,,,,,,,,,,DEPTH,settlement,m,1.5,back_reef_east,111,143
production and supply of larvae as determinants of zonation in a brooding tropical coral,"Carlon, D. B.",Favia fragum,2,brood,settlement,0%,47.741,254,7.226,115.1634895,,3,,,,,,,,,,,,,,,,DEPTH,settlement,m,3,fore_reef_east,121,133
production and supply of larvae as determinants of zonation in a brooding tropical coral,"Carlon, D. B.",Favia fragum,2,brood,settlement,0%,16.002,254,5.161,82.25280502,,10,,,,,,,,,,,,,,,,DEPTH,settlement,m,10,fore_reef_east,41,213
production and supply of larvae as determinants of zonation in a brooding tropical coral,"Carlon, D. B.",Favia fragum,2,brood,settlement,0%,50.322,254,6.193,98.70017855,,1.5,,,,,,,,,,,,,,,,DEPTH,settlement,m,1.5,back_reef_east,128,126
production and supply of larvae as determinants of zonation in a brooding tropical coral,"Carlon, D. B.",Favia fragum,2,brood,settlement,0%,57.805,254,10.838,172.7292968,,3,,,,,,,,,,,,,,,,DEPTH,settlement,m,3,fore_reef_east,147,107
production and supply of larvae as determinants of zonation in a brooding tropical coral,"Carlon, D. B.",Favia fragum,2,brood,settlement,0%,22.451,254,6.451,102.8120219,,10,,,,,,,,,,,,,,,,DEPTH,settlement,m,10,fore_reef_east,57,197
impact of elevated ammonium on reproduction in two Hawaiian,Cox and Ward,Pocillopora damicornis,3,spawn,settlement,0%,49.6,3608,6.55,13.1,,,0,,,,,,,,,,,,,,,AMMONIUM,settlement,microM,0,1,1790,1818
impact of elevated ammonium on reproduction in two Hawaiian,Cox and Ward,Pocillopora damicornis,3,spawn,settlement,0%,53.9,3808,3.23,6.46,,,20,,,,,,,,,,,,,,,AMMONIUM,settlement,microM,20,0,2053,1755
impact of elevated ammonium on reproduction in two Hawaiian,Cox and Ward,Pocillopora damicornis,4,spawn,survivorship,0%,32.8,1804,4.094148263,5.79,,,0,,,,,,,,,,,,,,,AMMONIUM,survivorship,microM,0,1,592,1212
impact of elevated ammonium on reproduction in two Hawaiian,Cox and Ward,Pocillopora damicornis,4,spawn,survivorship,0%,52.2,1804,5.49421969,7.77,,,20,,,,,,,,,,,,,,,AMMONIUM,survivorship,microM,20,0,942,862
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Acropora longicyathus,5,spawn,fertilisation,0%,93.507,500,1.299,29.04652303,,,0,,,,,,,,,,,,,,,AMMONIUM,fertilisation,microM,0,1,468,32
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Acropora longicyathus,5,spawn,fertilisation,0%,93.514,500,1.299,29.04652303,,,1,,,,,,,,,,,,,,,AMMONIUM,fertilisation,microM,1,0,468,32
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Acropora longicyathus,5,spawn,fertilisation,0%,93.507,500,0.649,14.51208117,,,10,,,,,,,,,,,,,,,AMMONIUM,fertilisation,microM,10,0,468,32
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Acropora longicyathus,5,spawn,fertilisation,0%,77.282,500,7.143,159.7223356,,,100,,,,,,,,,,,,,,,AMMONIUM,fertilisation,microM,100,0,386,114
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Acropora longicyathus,6,spawn,fertilisation,0%,77.923,500,4.545,101.6292896,,,0,,,,,,,,,,,,,,,AMMONIUM,fertilisation,microM,0,1,390,110
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Acropora longicyathus,6,spawn,fertilisation,0%,16.233,500,5.844,130.6758126,,,1,,,,,,,,,,,,,,,AMMONIUM,fertilisation,microM,1,0,81,419
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Acropora longicyathus,6,spawn,fertilisation,0%,11.688,500,3.247,72.60512723,,,10,,,,,,,,,,,,,,,AMMONIUM,fertilisation,microM,10,0,58,442
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Acropora longicyathus,6,spawn,fertilisation,0%,15.584,500,3.896,87.1172084,,,100,,,,,,,,,,,,,,,AMMONIUM,fertilisation,microM,100,0,78,422
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Acropora longicyathus,7,spawn,fertilisation,0%,90.267,500,1.948,43.5586042,,,,0,,,,,,,,,,,,,,PHOSPHATE,fertilisation,microM,0,1,451,49
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Acropora longicyathus,7,spawn,fertilisation,0%,20.779,500,6.493,145.1878938,,,,1,,,,,,,,,,,,,,PHOSPHATE,fertilisation,microM,1,0,104,396
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Acropora longicyathus,7,spawn,fertilisation,0%,45.454,500,6.493,145.1878938,,,,10,,,,,,,,,,,,,,PHOSPHATE,fertilisation,microM,10,0,227,273
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Acropora longicyathus,7,spawn,fertilisation,0%,55.197,500,7.819,174.8381552,,,,100,,,,,,,,,,,,,,PHOSPHATE,fertilisation,microM,100,0,276,224
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Acropora longicyathus,8,spawn,fertilisation,0%,77.271,500,4.545,101.6292896,,,,0,,,,,,,,,,,,,,PHOSPHATE,fertilisation,microM,0,1,386,114
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Acropora longicyathus,8,spawn,fertilisation,0%,1.948,500,0,0,,,,1,,,,,,,,,,,,,,PHOSPHATE,fertilisation,microM,1,0,10,490
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Acropora longicyathus,8,spawn,fertilisation,0%,3.896,500,2.597,58.07068538,,,,10,,,,,,,,,,,,,,PHOSPHATE,fertilisation,microM,10,0,19,481
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Acropora longicyathus,8,spawn,fertilisation,0%,1.299,500,0,0,,,,100,,,,,,,,,,,,,,PHOSPHATE,fertilisation,microM,100,0,6,494
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Acropora longicyathus,9,spawn,fertilisation,0%,85.063,500,1.299,29.04652303,,,0,0,,,,,,,,,,,,,,AMMONIUM AND PHOSPHATE,fertilisation,microM,0,1,425,75
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Acropora longicyathus,9,spawn,fertilisation,0%,20.14,500,5.195,116.1637314,,,1,1,,,,,,,,,,,,,,AMMONIUM AND PHOSPHATE,fertilisation,microM,1,0,101,399
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Acropora longicyathus,9,spawn,fertilisation,0%,20.129,500,5.195,116.1637314,,,10,10,,,,,,,,,,,,,,AMMONIUM AND PHOSPHATE,fertilisation,microM,10,0,101,399
elevated levels of nitrogen and phosphorus reduce fertilisation success of gametes from scleractinian reef corals,Harrison and Ward,Acropora longicyathus,9,spawn,fertilisation,0%,14.935,500,3.896,87.1172084,,,100,100,,,,,,,,,,,,,,AMMONIUM AND PHOSPHATE,fertilisation,microM,100,0,75,425
